,Symbol,molar_vol,heat_fusion,heat_cap,first_ioniz,electric_pol,GGAU_Etot,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom
0,Ac,,,,,,,2.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,0.0,9.0,44.5125,0.0,0.0
1,Ag,10.27,11300.0,25.35,731000.0,7.2,-0.71,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,16.33,0.0,0.0
2,Al,10.0,10700.0,24.2,577500.0,6.8,-3.74,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,16.48,0.0,0.0
3,Am,,,,,,,2.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,7.0,7.0,18.08,0.0,0.3180036375
4,Ar,22.56,1180.0,,1520600.0,,,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,28.54,9.26,0.0
5,As,12.95,27700.0,24.64,947000.0,4.31,-4.65,2.0,3.0,10.0,0.0,15.0,0.0,3.0,0.0,0.0,3.0,22.175,0.0,0.0
6,At,,6000.0,,920000.0,,,2.0,5.0,10.0,14.0,31.0,0.0,1.0,0.0,0.0,1.0,38.73125,0.0,0.0
7,Au,10.21,12500.0,25.418,890100.0,5.8,-0.97,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0
8,B,4.39,50000.0,11.087,800600.0,,,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,7.1725,1.524,0.0
9,Ba,38.16,8000.0,28.07,502900.0,39.7,-1.93,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,63.59,0.0,0.0
10,Be,4.85,7950.0,16.443,899500.0,5.6,-3.75,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0
11,Bi,21.31,10900.0,25.52,703000.0,7.4,-4.06,2.0,3.0,10.0,14.0,29.0,0.0,3.0,0.0,0.0,3.0,32.95,0.0,0.0
12,Bk,,,,,,,2.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,5.0,5.0,18.08,0.0,0.3180036375
13,Br,19.78,5800.0,75.69,1139900.0,3.05,,2.0,5.0,10.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,29.48,1.457,0.0
14,C,5.29,,6.115,1086500.0,,,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,0.0
