,Atomic no,Name,Atomic mass,Atomic radius,Boiling point,Melting point,X,Symbol,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,Row,Group,Valence,Block,Electronic Structure
0,1,Hydrogen,1.00794,0.25,20.28,14.01,2.2,H,-0.233471,,,,,,,,,,,,,,,,,1,1,1.0,s,1s1
1,2,Helium,4.002602,,4.22,0.95,,He,-0.570425,,,,,,,,,,,,,,,,,1,18,0.0,p,1s2
2,3,Lithium,6.941,1.45,1615.0,453.69,0.98,Li,-1.878564,-0.10554,,,,,,,,,,,,,,,,2,1,1.0,s,[He].2s1
3,4,Beryllium,9.012182,1.05,2742.0,1560.0,1.57,Be,-3.856411,-0.205744,,,,,,,,,,,,,,,,2,2,2.0,s,[He].2s2
4,5,Boron,10.811,0.85,4200.0,2349.0,2.04,B,-6.564347,-0.344701,-0.136603,,,,,,,,,,,,,,,2,13,1.0,p,[He].2s2.2p1
5,6,Carbon,12.0107,0.7,4300.0,3800.0,2.55,C,-9.947718,-0.500866,-0.199186,,,,,,,,,,,,,,,2,14,2.0,p,[He].2s2.2p2
6,7,Nitrogen,14.0067,0.65,77.36,63.05,3.04,N,-14.011501,-0.676151,-0.266297,,,,,,,,,,,,,,,2,15,3.0,p,[He].2s2.2p3
7,8,Oxygen,15.9994,0.6,90.2,54.8,3.44,O,-18.758245,-0.871362,-0.338381,,,,,,,,,,,,,,,2,16,4.0,p,[He].2s2.2p4
8,9,Fluorine,18.9984032,0.5,85.03,53.53,3.98,F,-24.189391,-1.086859,-0.415606,,,,,,,,,,,,,,,2,17,5.0,p,[He].2s2.2p5
9,10,Neon,20.1797,,27.07,24.56,,Ne,-30.305855,-1.322809,-0.498034,,,,,,,,,,,,,,,2,18,0.0,p,[He].2s2.2p6
10,11,Sodium,22.98976928,1.8,1156.0,370.87,0.93,Na,-37.719975,-2.063401,-1.060636,-0.103415,,,,,,,,,,,,,,3,1,1.0,s,[Ne].3s1
11,12,Magnesium,24.305,1.5,1363.0,923.0,1.31,Mg,-45.973167,-2.903746,-1.71897,-0.175427,,,,,,,,,,,,,,3,2,2.0,s,[Ne].3s2
12,13,Aluminum,26.9815386,1.25,2792.0,933.47,1.61,Al,-55.156044,-3.934827,-2.564018,-0.286883,-0.102545,,,,,,,,,,,,,3,13,1.0,p,[Ne].3s2.3p1
13,14,Silicon,28.0855,1.1,3173.0,1687.0,1.9,Si,-65.184426,-5.075056,-3.514938,-0.398139,-0.153293,,,,,,,,,,,,,3,14,2.0,p,[Ne].3s2.3p2
14,15,Phosphorus,30.973762,1.0,550.0,317.3,2.19,P,-76.061897,-6.329346,-4.576617,-0.512364,-0.20608,,,,,,,,,,,,,3,15,3.0,p,[Ne].3s2.3p3
15,16,Sulfur,32.065,1.0,717.87,388.36,2.58,S,-87.789937,-7.69994,-5.751257,-0.630912,-0.261676,,,,,,,,,,,,,3,16,4.0,p,[Ne].3s2.3p4
16,17,Chlorine,35.453,1.0,239.11,171.6,3.16,Cl,-100.369229,-9.187993,-7.039982,-0.754458,-0.32038,,,,,,,,,,,,,3,17,5.0,p,[Ne].3s2.3p5
17,18,Argon,39.948,0.71,87.3,83.8,,Ar,-113.800134,-10.794172,-8.443439,-0.883384,-0.38233,,,,,,,,,,,,,3,18,0.0,p,[Ne].3s2.3p6
18,19,Potassium,39.0983,2.2,1032.0,336.53,0.82,K,-128.414957,-12.839001,-10.283851,-1.281897,-0.693776,,-0.088815,,,,,,,,,,,4,1,1.0,s,[Ar].4s1
19,20,Calcium,40.078,1.8,1757.0,1115.0,1.0,Ca,-143.935181,-15.046905,-12.285376,-1.706331,-1.030572,,-0.141411,,,,,,,,,,,4,2,2.0,s,[Ar].4s2
20,21,Scandium,44.955912,1.6,3103.0,1814.0,1.36,Sc,-160.184109,-17.206464,-14.240006,-1.988378,-1.233165,-0.13108,-0.156478,,,,,,,,,,,4,3,1.0,d,[Ar].3d1.4s2
21,22,Titanium,47.867,1.4,3560.0,1941.0,1.54,Ti,-177.276643,-19.457901,-16.285339,-2.258007,-1.422947,-0.17001,-0.167106,,,,,,,,,,,4,4,2.0,d,[Ar].3d2.4s2
22,23,Vanadium,50.9415,1.35,3680.0,2183.0,1.63,V,-195.224014,-21.815346,-18.435189,-2.526904,-1.610516,-0.204634,-0.175968,,,,,,,,,,,4,5,3.0,d,[Ar].3d3.4s2
23,24,Chromium,51.9961,1.4,2944.0,2180.0,1.66,Cr,-213.881191,-24.113457,-20.526273,-2.649085,-1.65423,-0.118123,-0.150445,,,,,,,,,,,4,6,,d,[Ar].3d5.4s1
24,25,Manganese,54.938045,1.4,2334.0,1519.0,1.55,Mn,-233.696912,-26.866646,-23.066297,-3.076637,-1.99145,-0.26654,-0.191136,,,,,,,,,,,4,7,5.0,d,[Ar].3d5.4s2
